Team,SOR,SOS,Offense,Defense,FPI,Game Control,Year,Ranking
Ohio State,1,2,1,3,1,1,2024,1
Notre Dame,3,4,9,2,3,4,2024,2
Oregon,2,19,3,21,8,5,2024,3
Texas,5,6,15,1,2,2,2024,4
Penn State,6,10,5,7,6,8,2024,5
Georgia,4,1,12,14,7,12,2024,6
Arizona State,14,39,6,30,21,19,2024,7
Boise St.,16,67,11,35,27,22,2024,8
Tennessee,9,16,27,4,9,11,2024,9
Indiana,8,35,4,20,10,6,2024,10
Ole Miss,13,37,8,5,5,3,2024,11
SMU,18,41,35,13,13,18,2024,12
BYU,7,44,31,18,25,14,2024,13
Clemson,25,28,7,28,14,10,2024,14
Iowa St.,15,42,32,44,26,49,2024,15
Illinois,11,30,26,62,42,34,2024,16
Alabama,17,20,20,6,4,7,2024,17
Miami,21,56,2,74,11,20,2024,18
South Carolina,19,21,48,9,15,9,2024,19
Syracuse,26,75,17,86,49,46,2024,20
Army,27,89,13,59,50,25,2024,21
Missouri,12,34,37,23,20,39,2024,22
UNLV,31,87,53,17,40,37,2024,23
Memphis,29,111,40,82,57,28,2024,24
Colorado,30,65,21,26,23,44,2024,25
Michigan,1,7,4,1,1,1,2023,1
Washington,2,1,6,30,12,3,2023,2
Texas,9,12,17,8,7,4,2023,3
Georgia,3,23,3,12,2,2,2023,4
Alabama,4,2,18,9,6,7,2023,5
Florida State,5,36,25,7,13,17,2023,6
Oregon,10,52,2,15,4,5,2023,7
Missouri,8,9,11,18,14,8,2023,8
Ole Miss,6,3,13,32,15,12,2023,9
Ohio State,7,5,12,3,3,6,2023,10
Arizona,16,57,16,37,20,23,2023,11
LSU,11,17,1,106,10,16,2023,12
Penn State,12,22,27,4,5,11,2023,13
Notre Dame,13,44,10,10,8,9,2023,14
Oklahoma,14,50,9,11,9,10,2023,15
Oklahoma State,17,26,39,50,39,51,2023,16
Tennessee,18,18,23,21,16,14,2023,17
Kansas State,19,35,14,24,11,13,2023,18
Louisville,21,47,34,20,23,21,2023,19
Clemson,22,48,69,2,19,15,2023,20
NC State,25,56,66,17,37,22,2023,21
